0,6e-01,4e-01,9e-01,5e-01,4e-01
1,3e-01,1e+00,1e+00,6e-01,7e-01
2,5e-01,9e-02,6e-01,3e-01,9e-02
3,1e+00,6e-01,9e-01,9e-01,8e-01
4,7e-01,5e-01,8e-01,6e-01,4e-01
5,5e-01,4e-01,8e-01,4e-01,3e-01
6,8e-01,4e-01,8e-01,5e-01,3e-01
7,6e-01,2e-01,7e-01,3e-01,1e-01
8,5e-01,2e-01,7e-01,3e-01,2e-01
9,7e-01,5e-01,8e-01,5e-01,2e-01
10,7e-01,4e-01,8e-01,6e-01,4e-01
11,3e-01,8e-01,9e-01,4e-01,7e-01
12,7e-01,5e-01,9e-01,7e-01,5e-01
13,3e-01,4e-01,8e-01,4e-01,3e-01
14,2e-01,4e-01,8e-01,3e-01,3e-01
15,4e-01,6e-01,8e-01,6e-01,6e-01
16,3e-01,4e-01,7e-01,3e-01,2e-01
17,4e-01,6e-01,1e+00,6e-01,6e-01
18,3e-01,6e-01,8e-01,4e-01,4e-01
19,4e-01,4e-01,8e-01,4e-01,3e-01
20,2e-01,2e-01,6e-01,3e-01,1e-01
21,7e-01,4e-01,8e-01,5e-01,3e-01
22,7e-01,5e-01,8e-01,6e-01,6e-01
23,3e-01,5e-01,9e-01,4e-01,4e-01
24,5e-01,3e-01,8e-01,4e-01,3e-01
25,3e-01,5e-01,8e-01,5e-01,5e-01
26,8e-01,2e-01,6e-01,3e-01,9e-02
27,6e-01,9e-01,9e-01,7e-01,7e-01
28,7e-01,4e-01,8e-01,7e-01,3e-01
29,8e-01,6e-01,9e-01,9e-01,6e-01
30,9e-01,7e-01,9e-01,7e-01,5e-01
31,7e-01,4e-01,8e-01,5e-01,3e-01
32,8e-01,7e-01,9e-01,1e+00,1e+00
33,5e-01,5e-01,8e-01,4e-01,3e-01
34,4e-01,5e-01,8e-01,4e-01,3e-01
35,8e-01,3e-01,8e-01,5e-01,4e-01
36,4e-01,3e-01,7e-01,4e-01,2e-01
37,1e+00,4e-01,8e-01,6e-01,4e-01
38,6e-01,3e-01,7e-01,4e-01,1e-01
39,6e-01,2e-01,7e-01,3e-01,2e-01
40,6e-01,6e-01,9e-01,6e-01,4e-01
41,5e-01,7e-01,9e-01,5e-01,5e-01
42,6e-01,5e-01,8e-01,5e-01,4e-01
43,1e-01,4e-01,8e-01,3e-01,4e-01
44,5e-01,6e-01,9e-01,5e-01,4e-01
45,7e-01,6e-01,8e-01,5e-01,3e-01
46,9e-01,5e-01,8e-01,7e-01,6e-01
47,1e-01,1e+00,9e-01,3e-01,7e-01
48,5e-01,0,0,1e-01,7e-02
49,8e-01,8e-01,9e-01,8e-01,5e-01
50,9e-01,7e-01,9e-01,7e-01,7e-01
51,8e-01,5e-01,8e-01,6e-01,4e-01
52,7e-01,3e-01,7e-01,4e-01,2e-01
53,4e-01,5e-01,9e-01,5e-01,4e-01
54,2e-01,2e-01,7e-01,3e-01,3e-01
55,4e-01,4e-01,8e-01,5e-01,4e-01
56,3e-01,5e-01,8e-01,4e-01,4e-01
57,5e-01,6e-01,9e-01,5e-01,5e-01
58,4e-01,7e-01,9e-01,5e-01,5e-01
59,4e-01,7e-01,9e-01,6e-01,1e+00
60,7e-01,7e-01,1e+00,8e-01,7e-01
61,8e-01,6e-01,9e-01,8e-01,7e-01
62,3e-01,5e-01,9e-01,5e-01,8e-01
63,3e-01,6e-01,9e-01,4e-01,5e-01
64,7e-01,5e-01,8e-01,5e-01,3e-01
65,2e-01,7e-01,9e-01,4e-01,5e-01
66,5e-01,8e-01,1e+00,6e-01,6e-01
67,5e-01,5e-01,9e-01,6e-01,5e-01
68,2e-01,5e-01,8e-01,3e-01,5e-01
69,8e-01,4e-01,8e-01,5e-01,4e-01
70,2e-01,4e-01,7e-01,3e-01,2e-01
71,3e-01,7e-01,9e-01,5e-01,5e-01
72,4e-01,4e-01,8e-01,3e-01,3e-01
73,1e-01,3e-01,7e-01,3e-01,2e-01
74,5e-01,6e-01,9e-01,6e-01,5e-01
75,5e-01,3e-01,7e-01,4e-01,2e-01
76,6e-01,4e-01,7e-01,5e-01,2e-01
77,5e-01,5e-01,8e-01,5e-01,4e-01
78,1e+00,2e-01,6e-01,4e-01,1e-01
79,5e-01,7e-01,9e-01,6e-01,6e-01
80,5e-01,5e-01,8e-01,5e-01,5e-01
81,1e-01,6e-01,9e-01,3e-01,5e-01
82,9e-01,6e-01,9e-01,7e-01,5e-01
83,3e-01,5e-01,8e-01,4e-01,3e-01
84,3e-01,2e-01,7e-01,3e-01,2e-01
85,9e-01,5e-01,8e-01,7e-01,3e-01
86,3e-01,4e-01,8e-01,4e-01,3e-01
87,4e-01,5e-01,8e-01,4e-01,3e-01
88,0,5e-01,8e-01,1e-01,4e-01
89,6e-01,4e-01,8e-01,5e-01,6e-01
90,3e-01,4e-01,7e-01,3e-01,2e-01
91,6e-01,5e-01,8e-01,5e-01,3e-01
92,6e-01,5e-01,9e-01,5e-01,4e-01
93,7e-01,4e-01,8e-01,6e-01,5e-01
94,2e-01,8e-01,1e+00,5e-01,9e-01
95,4e-01,3e-01,7e-01,3e-01,2e-01
96,8e-01,4e-01,8e-01,5e-01,2e-01
97,8e-01,5e-01,8e-01,6e-01,5e-01
98,7e-01,3e-01,7e-01,4e-01,2e-01
99,9e-01,2e-01,7e-01,5e-01,2e-01
